mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm,slowdown
cbuckle.mat,341,1e-06,34100,5549,44,2120,9.99532743148542e-07,True,1.421841833,33487.85175908966,6.217008797653959
cbuckle.mat,341,1e-06,34100,1324,320,321,7.365724632046762e-07,True,0.220730459,376.9187457713623,0.9413489736070382
cbuckle.mat,341,1e-06,34100,26,161,342,9.757096938547777e-07,True,0.235067291,4.502774280306715,1.002932551319648
cbuckle.mat,341,1e-06,34100,11087,247,3351,9.989911315776729e-07,True,2.250991042,14842.671715299823,9.826979472140762
cbuckle.mat,341,1e-06,34100,13399,115,379,9.547455603189088e-07,True,0.276059417,528.5716971470779,1.1114369501466275
cbuckle.mat,341,1e-06,34100,3974,276,361,9.778256490676573e-07,True,0.250340875,101.18496015020484,1.0586510263929618
cbuckle.mat,341,1e-06,34100,11659,185,444,9.750182952624982e-07,True,0.303170166,528.5716971470781,1.3020527859237536
cbuckle.mat,341,1e-06,34100,9379,71,371,9.687038886951121e-07,True,0.25526325,528.571697147063,1.0879765395894427
cbuckle.mat,341,1e-06,34100,7795,178,447,9.968910285517151e-07,True,0.307236375,528.5716971470596,1.310850439882698
cbuckle.mat,341,1e-06,34100,3583,205,437,9.933274461756426e-07,True,0.297684667,528.5716971470692,1.281524926686217
cbuckle.mat,341,1e-06,34100,4081,65,382,9.879065596314375e-07,True,0.259646041,528.5716971470687,1.1202346041055717
cbuckle.mat,341,1e-06,34100,7090,261,535,9.878516882376332e-07,True,0.365623583,376.91874577136326,1.5689149560117301
cbuckle.mat,341,1e-06,34100,7115,318,8700,9.954308022088923e-07,True,5.849665541,41164.52087922002,25.513196480938415
cbuckle.mat,341,1e-06,34100,2898,273,16227,9.997401829657084e-07,True,11.027590416,39981.119837581246,47.58651026392962
cbuckle.mat,341,1e-06,34100,10724,230,426,9.466470279138254e-07,True,0.296440958,101.18496015020165,1.249266862170088
cbuckle.mat,341,1e-06,34100,9372,170,34099,6.23447811431202e-06,False,23.090140417,37813.463530516376,99.99706744868035
cbuckle.mat,341,1e-06,34100,7607,225,26597,9.994546523675851e-07,True,18.360826084,39365.78075627342,77.99706744868035
cbuckle.mat,341,1e-06,34100,2574,208,24145,9.996790115329412e-07,True,16.431919041,37813.46353051667,70.80645161290323
cbuckle.mat,341,1e-06,34100,5340,270,7319,9.975927712222906e-07,True,5.013644917,27699.32004036676,21.4633431085044
cbuckle.mat,341,1e-06,34100,4369,292,362,9.88407111428583e-07,True,0.253789334,528.5716971470684,1.06158357771261
cbuckle.mat,341,1e-06,34100,12444,338,2377,9.931154101277947e-07,True,1.623386041,22548.260071890938,6.970674486803519
cbuckle.mat,341,1e-06,34100,11143,110,360,9.985095180965392e-07,True,0.256403958,528.5716971470583,1.0557184750733137
cbuckle.mat,341,1e-06,34100,9993,112,342,9.27341266585775e-07,True,0.240220792,16.781768919479294,1.002932551319648
cbuckle.mat,341,1e-06,34100,3014,140,396,9.762120639837736e-07,True,0.271291208,101.18496015020267,1.1612903225806452
