matrix_name,error_perc,error_pos,pos_2norm,errorfree_iterations,iterations,final_relres,converged,time_s
bcsstk18.mat,0.0,9131,930928157.3570769,431,451,9.980189537531707e-07,True,0.250409375
bcsstk18.mat,0.0,11757,1.0,431,1639,9.756767200132009e-07,True,0.910581834
bcsstk18.mat,0.0,7475,47.81892285139636,431,473,9.823096041279886e-07,True,0.261433708
bcsstk18.mat,0.0,10706,1.0,431,2670,9.72527963272324e-07,True,1.471159375
bcsstk18.mat,0.0,2253,2321814212.6799083,431,1185,9.979382944368289e-07,True,0.650041792
bcsstk18.mat,0.0,5213,106086.9215666589,431,457,9.64269149152532e-07,True,0.253515459
bcsstk18.mat,0.0,9627,4768989.513403413,431,1459,9.597205549993567e-07,True,0.80449175
bcsstk18.mat,0.0,5115,156248.41642616387,431,1339,9.613824555665312e-07,True,0.735324834
bcsstk18.mat,0.0,5748,325521887.0902944,431,453,9.803890773141713e-07,True,0.24985575
bcsstk18.mat,0.0,10797,2436704.938650869,431,6746,9.9917966554649e-07,True,3.712531792
bcsstk18.mat,0.0,1673,2675195.572102946,431,1462,9.71818570423806e-07,True,0.805443084
bcsstk18.mat,0.0,5663,9807342.76513251,431,539,9.989276489090915e-07,True,0.298242708
bcsstk18.mat,0.0,9339,59129727.77369022,431,1668,9.661790369775767e-07,True,0.9197635
bcsstk18.mat,0.0,8573,12290761671.040686,431,1466,9.369553497899143e-07,True,0.81074725
bcsstk18.mat,0.0,2708,82602274.00030187,431,536,9.82580332829926e-07,True,0.2968875
bcsstk18.mat,0.0,11051,5633191025.882823,431,551,9.898164479220005e-07,True,0.305315208
bcsstk18.mat,0.0,9822,93919448.72770324,431,9381,9.990659312769426e-07,True,5.146337625
bcsstk18.mat,0.0,137,1649425.237620616,431,453,9.67985288496748e-07,True,0.250254125
bcsstk18.mat,0.0,10545,152272007.69207466,431,756,9.538507641882893e-07,True,0.417523416
bcsstk18.mat,0.0,7317,65186531.05133491,431,1720,9.984777888041235e-07,True,0.949015333
bcsstk18.mat,0.0,1456,590684865.4442194,431,472,9.528234230685627e-07,True,0.2604285
bcsstk18.mat,0.0,2706,6789972.229672875,431,472,9.989628877160074e-07,True,0.26031425
bcsstk18.mat,0.0,2237,14249576.065261412,431,477,9.968896828055167e-07,True,0.262673125
bcsstk18.mat,0.0,3643,36805648.98136415,431,602,9.620070506738982e-07,True,0.331648209
bcsstk18.mat,0.0,1022,8966061.31565687,431,543,9.091981125102912e-07,True,0.298764875
bcsstk18.mat,0.0,865,31102562.62015808,431,576,9.267178856623085e-07,True,0.317076833
bcsstk18.mat,0.0,9153,9538930.670478772,431,640,9.960856019204456e-07,True,0.352192917
bcsstk18.mat,0.0,7012,383253848.67654157,431,452,9.83118845490941e-07,True,0.251139083
bcsstk18.mat,0.0,366,7675347.964247075,431,462,9.551247657011429e-07,True,0.255534042
bcsstk18.mat,0.0,10194,30358179.662881687,431,535,9.193871845463149e-07,True,0.30114225
bcsstk18.mat,0.0,5788,7045371.157287697,431,9281,9.983599436815298e-07,True,5.19868175
bcsstk18.mat,0.0,940,4336584.580608077,431,461,9.355411264103549e-07,True,0.262429958
bcsstk18.mat,0.0,8886,2354384.8546940093,431,1249,9.968977317255333e-07,True,0.689583041
bcsstk18.mat,0.0,1438,1.0,431,816,9.832484668540557e-07,True,0.454922667
bcsstk18.mat,0.0,10764,5261324273.360839,431,629,9.844356245943479e-07,True,0.347889375
bcsstk18.mat,0.0,4525,98288350.13897656,431,465,9.83521503631839e-07,True,0.258845208
bcsstk18.mat,0.0,9427,91073259.25500569,431,769,9.503138239102627e-07,True,0.424522542
